id,name,phone,email,address,category,city,area,source,source_url,phone_clean,email_valid,enriched,scraped_at,state,arn,license_no,membership_no,quality_score,quality_tier,blockchain_ca
1,Find Bestschoolsin India,,400059emailsupport@schoolsuniverse.comcontact,North Delhi,School,Delhi,,SCHOOL,https://www.schoolsuniverse.com,,1,1,2026-05-17 15:44:34,,,,,45,medium,
2,School Dekho®,,info@schooldekho.org,North Delhi,School,Delhi,,SCHOOL,https://www.schooldekho.org,,1,1,2026-05-17 15:44:34,,,,,45,medium,
3,Ezyschooling,,query@ezyschooling.com,North Delhi,School,Delhi,,SCHOOL,https://ezyschooling.com,,1,1,2026-05-17 15:44:34,,,,,45,medium,
4,Skoodos,,hello@skoodos.com,North Delhi,School,Delhi,,SCHOOL,https://skoodos.com,,1,1,2026-05-17 15:44:34,,,,,45,medium,
5,Sebi Investment Advisor,,dvsekhar@sebi.gov.inGo,,Investment Advisor,Multiple,,SEBI,Direct Gov,,1,1,2026-05-17 18:16:55,,,,,40,low,
6,Top 10 Bestschools In India| Updated 2026-27,8859500084,theasianschool@gmail.com,North Delhi,School,Delhi,,SCHOOL,https://www.theasianschool.net,8859500084,1,1,2026-05-17 19:50:27,,,,,80,high,
7,Top (10+2)Schoolsin India Rankings 2025,8800306519,,North Delhi,School,Delhi,,SCHOOL,https://iirfranking.com,8800306519,0,1,2026-05-17 19:50:27,,,,,55,medium,
8,Ahlcon International School,9560594007,principal@ahlconinternational.in,"Mayur Vihar, Phase 1, New Delhi 110091 (Principal: Mr. Sanjay Yadav)",School,Delhi,,NPSC,http://www.ahlconinternational.com,9560594007,1,1,2026-05-17 21:32:16,,,,,80,high,
9,Ahlcon Public School,9318311583,apsmayurvihar1@gmail.com,"Mayur Vihar,Phase 1, New Delhi 110091 (Principal: Dr. Deepak Raj Singh Bisht)",School,Delhi,,NPSC,http://www.ahlconpublicschool.com,9318311583,1,1,2026-05-17 21:32:16,,,,,80,high,
10,Air Force Bal Bharati School,9810069875,afbbschool@gmail.com,"Lodi Road, New Delhi 110003 (Principal: Ms. Sunita Gupta)",School,Delhi,,NPSC,http://www.airforcebalbhartischool.com,9810069875,1,1,2026-05-17 21:32:16,,,,,80,high,
11,Air Force Golden Jubilee Institute,9990770969,afgjisp@gmail.com,"AFGJI, Subroto Park, New Delhi 110010 (Principal: Ms. Poonam S Rampal)",School,Delhi,,NPSC,http://www.afgji.in,9990770969,1,1,2026-05-17 21:32:16,,,,,80,high,
12,Amatir Kanya Gurukul,9306751011,info@kanyagurukul.com,"Amatir Kanya Gurukul, Bachgaon Gamri, Lukhi Road, (Principal: Ms. Shalu Sharma)",School,Delhi,,NPSC,http://www.amatir.org,9306751011,1,1,2026-05-17 21:32:16,,,,,80,high,
13,Ambience Public School,9717160042,nfo@ambiencepublicschool.com,"A 1, Safdarjung Enclave, New Delhi 110029 (Principal: Ms. Himani Asija)",School,Delhi,,NPSC,http://www.ambiencepublicschool.com,9717160042,1,1,2026-05-17 21:32:16,,,,,80,high,
14,Amity International School,9818222002,principal@aiss.amity.edu,"RoadNo.44,MBlock,Saket,NewDelhi110017 (Principal: Ms. Divya Bhatia)",School,Delhi,,NPSC,http://www.amity.edu,9818222002,1,1,2026-05-17 21:32:16,,,,,80,high,
15,Amity International School,9810541598,mrsameetamohan@gmail.com,"Sector 7, Pushp Vihar, New Delhi 110017 (Principal: Ms. Ameeta Mohan)",School,Delhi,,NPSC,http://www.amity.edu/aia/pushpvihar,9810541598,1,1,2026-05-17 21:32:16,,,,,80,high,
16,Amity International School,9560742887,principal@aismv.amity.edu,"Near Samachar Apartments, Mayur Vihar, Phase 1, Delhi 110091 (Principal: Ms. Meenu Kanwar)",School,Delhi,,NPSC,http://amity.edu/ais/mayurvihar,9560742887,1,1,2026-05-17 21:32:16,,,,,80,high,
